year,avg_CPI
1979,72.58333333333333
1980,82.38333333333334
1981,90.93333333333334
1982,96.53333333333335
1983,99.58333333333333
1984,103.93333333333332
1985,107.60000000000001
1986,109.69166666666668
1987,113.61666666666667
1988,118.27499999999999
1989,123.94166666666668
1990,130.65833333333333
1991,136.16666666666666
1992,140.3083333333333
1993,144.475
1994,148.225
1995,152.38333333333335
1996,156.85833333333332
1997,160.525
1998,163.00833333333333
1999,166.58333333333334
2000,172.1916666666667
2001,177.04166666666666
2002,179.86666666666665
2003,184.0
2004,188.90833333333333
2005,195.26666666666665
2006,201.55833333333337
2007,207.34416666666667
2008,215.25424999999998
2009,214.56466666666665
2010,218.07616666666664
2011,224.923
2012,229.58608333333336
2013,232.95174999999998
2014,236.71499999999995
2015,237.00175000000002
2016,240.00541666666672
2017,245.13549999999998
2018,251.10233333333335
2019,255.6525833333333
2020,258.84408333333334
