state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
AL,1979,3769000,15578,496,1037,4127,9918,144372,48517,83791,12064,254,4.133191828071106,0.13159989387105334,0.27513929424250466,1.0949854072698328,2.6314672326877155,38.305120721676836,12.872645263995755,22.23162642610772,3.2008490315733615,0.06739188113557973
AL,1980,3861466,17320,509,1158,5102,10551,173191,58952,102029,12210,1109,4.485343131339238,0.13181522250875705,0.2998861054324964,1.3212598531231403,2.732381950274844,44.8511005923657,15.266740662743114,26.4223484034302,3.162011526192384,0.28719662428725257
AL,1981,3916000,18423,465,1021,4952,11985,173411,56811,105471,11129,1195,4.704545454545454,0.11874361593462716,0.26072522982635343,1.264555669050051,3.060520939734423,44.282686414708884,14.507405515832483,26.93335035750766,2.8419305413687437,0.30515832482124616
AL,1982,3943000,17653,417,1026,4417,11793,165048,49531,104740,10777,1078,4.477047933045904,0.10575703778848593,0.2602079634795841,1.1202130357595739,2.99086989601826,41.858483388283034,12.56175500887649,26.563530306872938,2.733198072533604,0.2733958914532082
AL,1983,3959000,16471,364,931,3895,11281,145890,42485,94279,9126,981,4.160394038898712,0.09194240969941904,0.2351603940388987,0.9838343015913109,2.849456933569083,36.85021470068199,10.731245263955545,23.81384187926244,2.305127557464006,0.24778984592068704
AL,1984,3990000,17204,374,1002,3833,11995,138487,39970,89198,9319,912,4.311779448621554,0.093734335839599,0.2511278195488722,0.9606516290726818,3.006265664160401,34.708521303258145,10.017543859649123,22.355388471177946,2.335588972431078,0.22857142857142856
AL,1985,4021000,18398,396,1079,4237,12686,140115,41612,88108,10395,1074,4.575478736632679,0.09848296443670729,0.26834120865456357,1.0537179806018404,3.1549365829395675,34.845809500124346,10.348669485202686,21.911962198458095,2.5851778164635664,0.2670977368813728
AL,1986,4053000,22616,409,1150,4523,16534,151191,46974,93396,10821,1103,5.580064150012337,0.10091290402171231,0.2837404391808537,1.1159634838391315,4.079447322970639,37.303478904515174,11.589933382679497,23.043671354552185,2.669874167283494,0.2721440907969405
AL,1987,4083000,22833,380,1137,4581,16735,158918,48927,99260,10731,1007,5.592211609110948,0.09306882194464854,0.2784717119764879,1.1219691403379868,4.0987019348518245,38.921871173156994,11.983100661278472,24.310555963752144,2.6282145481263774,0.24663237815331865
AL,1988,4127000,23052,408,1228,4860,16556,165209,50920,103282,11007,946,5.58565543978677,0.09886115822631451,0.297552701720378,1.1776108553428641,4.011630724497214,40.03125757208626,12.338260237460625,25.025926823358372,2.6670705112672644,0.22922219529924884
