state,crime_rate,baseline_MAE,baseline_RMSE,baseline_R2,LSTM_MAE,LSTM_RMSE,LSTM_R2
AL,violent_crime_1000,0.3008706243993264,0.4215491291774729,0.8232279886989017,0.48159531664666627,0.6064924515862282,0.634095365402984
AL,property_crime_1000,0.30916455107576785,0.40604159263397005,0.8390227117256452,0.5310357637907107,0.6881167298523749,0.5376745557231153
AK,violent_crime_1000,0.36928782646148284,0.5018232849484284,0.7404319412111187,0.5904175928693627,0.785294225135818,0.3643552875352376
AK,property_crime_1000,0.25339326050816197,0.32060508577285807,0.8930241090180119,0.44952417708440934,0.5521724395316348,0.6826821159077643
AZ,violent_crime_1000,0.34063290330780494,0.4219939808746611,0.824993200043222,0.4248750272008864,0.5489218201842186,0.7038829594240263
AZ,property_crime_1000,0.18791397334881504,0.23305951244374654,0.9450538387364579,0.34683060583148134,0.4576388591460407,0.788139751267948
AR,violent_crime_1000,0.30176024841152216,0.37020683142650895,0.8605070964564614,0.44339820489159615,0.5809077602998639,0.6565388548503956
AR,property_crime_1000,0.34674578978566445,0.44183416355802185,0.8048051721392075,0.4401905996138199,0.5516608930555422,0.6957054911785077
CA,violent_crime_1000,0.15055098297061598,0.20874526971747673,0.9571655437960873,0.367070171475895,0.4277865574509844,0.8201070106274132
CA,property_crime_1000,0.11942293393057081,0.14654363572783993,0.977492072750446,0.40194806051371196,0.48814359520674244,0.7502550188985526
CO,violent_crime_1000,0.27140257104777665,0.34818672936681433,0.8766936850131263,0.5208930399799405,0.5973236918375504,0.6371055125029086
CO,property_crime_1000,0.12746859413690753,0.1659353800397772,0.9715232333224066,0.5120095238173596,0.7029696619000355,0.48892356897565825
CT,violent_crime_1000,0.20842931814018822,0.2585432076670609,0.9340347950747978,0.41279808283258285,0.5028388659971803,0.7504794453054775
CT,property_crime_1000,0.1104188389320357,0.14401422086642302,0.9783088678642341,0.2534201825312761,0.3796056714491025,0.8492918126906285
DE,violent_crime_1000,0.39708807305668387,0.4973307156223077,0.7576821977790497,0.5486780655799929,0.6549684761276698,0.57972306937825
DE,property_crime_1000,0.23978228607523255,0.3137228810633298,0.893927352843386,0.5718570645111035,0.7407242275779715,0.40867789064530213
FL,violent_crime_1000,0.1597187442713867,0.21093144743462217,0.956552484992234,0.43045641570068766,0.49522317988319686,0.76051175292915
FL,property_crime_1000,0.1359932273586864,0.16705272194365947,0.9721901009059969,0.27865569903592746,0.33617930734274476,0.8873751420147306
GA,violent_crime_1000,0.21588913720777755,0.2899332026573068,0.9176642089713285,0.371943308567885,0.46456695654703684,0.7886075904060794
GA,property_crime_1000,0.23110389209397544,0.301199275168729,0.9108865679491054,0.26482176282552333,0.381248769650847,0.85722498090352
HI,violent_crime_1000,0.8633694905975072,1.1617760082730135,-0.41353022648579874,0.6549446922657464,0.8515040914597336,0.24066438398208467
HI,property_crime_1000,0.22764840743322518,0.2865187590617327,0.9145728100121321,0.3992036599133389,0.5333003745868236,0.7040394842405524
ID,violent_crime_1000,0.5030412422123628,0.6516192408550938,0.5648833599104763,0.560756190822064,0.7240177750225355,0.4628243103115477
ID,property_crime_1000,0.17642757321739783,0.22297609892210296,0.9500570676933638,0.4239595799064323,0.5665832930970702,0.677533250312176
IL,violent_crime_1000,0.1663963549397494,0.22772991905201345,0.9491803314554352,0.7062669512876969,0.8034847861781703,0.36737411127015496
IL,property_crime_1000,0.11612774496106083,0.13785952613228825,0.9805394035259192,0.3920275309493622,0.5116402876129909,0.7319523194900655
IN,violent_crime_1000,0.2928119382935625,0.3960178676281463,0.8455144784602683,0.4632950263659212,0.5429668180489421,0.7095945243802606
IN,property_crime_1000,0.2011145892124146,0.25028611028887837,0.9365098457053561,0.5277223306952477,0.7606177381811555,0.4136380464010556
IA,violent_crime_1000,0.4181293576181666,0.5631194359470463,0.6508621416983725,0.4623352458150469,0.6473347667693667,0.5386253016770461
IA,property_crime_1000,0.18369129353622674,0.24533910666830888,0.9385409582772741,0.30062271031286053,0.4659008423463103,0.7783645547580055
KS,violent_crime_1000,0.5071460154373215,0.6116167837041614,0.6252297462929299,0.5812493081658892,0.7319259182871308,0.46328890149374047
KS,property_crime_1000,0.22953497519275926,0.2914969074640003,0.9155860532773874,0.5754994881652524,0.7358455648656074,0.462077567193493
KY,violent_crime_1000,0.3233873652151151,0.4383274530641355,0.8102098091457752,0.38939078478849715,0.5944408181981149,0.650945159350502
KY,property_crime_1000,0.2980630408863945,0.38420598173217985,0.8533363095780759,0.5022265617221328,0.7421437102589731,0.4527693843404974
LA,violent_crime_1000,0.2973707169677982,0.3646405826103574,0.8700964941203022,0.44838537025410846,0.518878270245208,0.736959975846391
LA,property_crime_1000,0.21915091287035107,0.27755766490976685,0.9247025294538248,0.38516597578921585,0.5247889824111731,0.7308196493503625
ME,violent_crime_1000,0.2528188133899593,0.36196639264551533,0.8389840976233869,0.36195035183513175,0.6170249052461158,0.5321165764514559
ME,property_crime_1000,0.1670704962074517,0.20342965782727496,0.9564203987544262,0.4604382125919069,0.5891229783831814,0.6345174554931692
MD,violent_crime_1000,0.19577369391391702,0.2285566896933998,0.9487992088429904,0.30685480718406,0.3770681851298689,0.8606430674026614
MD,property_crime_1000,0.15459279225997466,0.189224690077593,0.9634959850719343,0.46018550859257407,0.5974728719342478,0.6360670227707534
MA,violent_crime_1000,0.22330126301319378,0.2981417231310262,0.9132270189278153,0.4243942700047174,0.5130136467842029,0.7430806352436881
MA,property_crime_1000,0.11807610661947261,0.15309908822109003,0.9750394467854219,0.3659357820722699,0.5287055948296253,0.7023288053295969
MI,violent_crime_1000,0.23436910133939734,0.28679705535122535,0.9196728159166846,0.2901112162496394,0.35226787597007714,0.8788121031972018
MI,property_crime_1000,0.10535368165923001,0.1331536997959986,0.9821428647785495,0.4004866796006435,0.5017189122416366,0.7464718105746007
MN,violent_crime_1000,0.31864466993527774,0.4156087362859317,0.8257258214977476,0.5245514112558175,0.6460513042333816,0.578887897210629
MN,property_crime_1000,0.179900360571122,0.22740019400755584,0.9482127506810323,0.3390238837043216,0.4242734817233544,0.819726056801919
MS,violent_crime_1000,0.2931368546524735,0.37868679963438784,0.8600058657833953,0.48392619770822626,0.7847064692623201,0.3988761325895124
MS,property_crime_1000,0.29046990670142286,0.3611735090471625,0.8682468438491093,0.5101074654709545,0.6401846480444813,0.5860577453097471
MO,violent_crime_1000,0.3568865051663286,0.4544015793266202,0.7981674470718774,0.5413129462236004,0.6619129635370682,0.5717342705103068
